comandoerr,comando
clar,clear
okdir,mkdir
umkfile,mkfile
d,cd
sl,ls
ped,pwd
descrrgar,descargar
suir,subir
cambiar nombrel,cambiar nombre
modifica contenido,modificar contenido
exct,exit
ckrrar sesion,cerrar sesion
cear,clear
mkdib,mkdir
mkfilez,mkfile
cvd,cd
sl,ls
pmd,pwd
descagar,descargar
subri,subir
cambiar nombmre,cambiar nombre
modificar contenidl,modificar contenido
exi,exit
cerrar sesino,cerrar sesion
cleart,clear
mkdcr,mkdir
mkfil,mkfile
ucd,cd
lk,ls
pw,pwd
descarear,descargar
sbuir,subir
cambiar nomber,cambiar nombre
modificar cntenido,modificar contenido
eixt,exit
cerxar sesion,cerrar sesion
cleaer,clear
mkdikr,mkdir
mfkile,mkfile
cg,cd
lys,ls
pd,pwd
descargr,descargar
sbuir,subir
cambiae nombre,cambiar nombre
modificar contenddo,modificar contenido
exti,exit
cerrar esion,cerrar sesion
zlear,clear
mdir,mkdir
mkfilf,mkfile
dc,cd
lsd,ls
pdw,pwd
descargra,descargar
sukbir,subir
qambiar nombre,cambiar nombre
modificar conttnido,modificar contenido
xit,exit
cerrar sfesion,cerrar sesion
clera,clear
mkir,mkdir
mkfiel,mkfile
nd,cd
els,ls
pdw,pwd
desargar,descargar
subijr,subir
cambiar qnombre,cambiar nombre
modifickr contenido,modificar contenido
exint,exit
cerarr sesion,cerrar sesion
cleae,clear
mkdzr,mkdir
pmkfile,mkfile
ck,cd
sl,ls
puwd,pwd
desnargar,descargar
subiwr,subir
cavmbiar nombre,cambiar nombre
modifica rcontenido,modificar contenido
xit,exit
cerrjr sesion,cerrar sesion
rclear,clear
mkdcr,mkdir
mkflie,mkfile
c,cd
sl,ls
phd,pwd
descawrgar,descargar
suibr,subir
cambial nombre,cambiar nombre
modifilcar contenido,modificar contenido
eximt,exit
cerrar seslion,cerrar sesion
clexr,clear
kmdir,mkdir
msfile,mkfile
dc,cd
sl,ls
lwd,pwd
descragar,descargar
subid,subir
cambira nombre,cambiar nombre
modifictar contenido,modificar contenido
esxit,exit
cerra rsesion,cerrar sesion
cledr,clear
mkdi,mkdir
mkifle,mkfile
dc,cd
s,ls
pd,pwd
descargr,descargar
subit,subir
cambiar nombe,cambiar nombre
modificar contenidw,modificar contenido
ecit,exit
cerrar ession,cerrar sesion
clvear,clear
kmdir,mkdir
mkifle,mkfile
lcd,cd
sl,ls
npwd,pwd
decsargar,descargar
subiar,subir
cambiarn ombre,cambiar nombre
modifocar contenido,modificar contenido
xit,exit
pcerrar sesion,cerrar sesion
celar,clear
mkhir,mkdir
qkfile,mkfile
dc,cd
zls,ls
wpd,pwd
descargbar,descargar
ubir,subir
cambiar nombr,cambiar nombre
modificiar contenido,modificar contenido
ext,exit
cerlar sesion,cerrar sesion
cear,clear
mqdir,mkdir
mkfiel,mkfile
dc,cd
lh,ls
pw,pwd
descarggr,descargar
subio,subir
camsbiar nombre,cambiar nombre
mdoificar contenido,modificar contenido
exti,exit
currar sesion,cerrar sesion
tlear,clear
mkkdir,mkdir
mkmfile,mkfile
cde,cd
lls,ls
pw,pwd
descagar,descargar
subbir,subir
ciambiar nombre,cambiar nombre
modifiqcar contenido,modificar contenido
ext,exit
cerrar smesion,cerrar sesion
claer,clear
mkdi,mkdir
mkfie,mkfile
c,cd
lz,ls
wpd,pwd
desacrgar,descargar
subur,subir
cmbiar nombre,cambiar nombre
modificar contendo,modificar contenido
exitt,exit
cerrar seion,cerrar sesion
clar,clear
mkidr,mkdir
mfkile,mkfile
d,cd
s,ls
pwyd,pwd
dscargar,descargar
asubir,subir
cmmbiar nombre,cambiar nombre
modificar contennido,modificar contenido
ext,exit
cerrar sesuon,cerrar sesion
cleatr,clear
mkvdir,mkdir
mkfileg,mkfile
id,cd
sl,ls
pwl,pwd
descagar,descargar
subhir,subir
carmbiar nombre,cambiar nombre
moificar contenido,modificar contenido
ext,exit
errar sesion,cerrar sesion
clea,clear
mkdio,mkdir
wmkfile,mkfile
czd,cd
sl,ls
pd,pwd
desvargar,descargar
subr,subir
ambiar nombre,cambiar nombre
modificagr contenido,modificar contenido
exti,exit
carrar sesion,cerrar sesion
clera,clear
mkdbir,mkdir
mkifle,mkfile
zd,cd
sl,ls
pwdg,pwd
descargamr,descargar
sbir,subir
cambiar onmbre,cambiar nombre
modificar contexnido,modificar contenido
eit,exit
cerrarw sesion,cerrar sesion
cllear,clear
xkdir,mkdir
mkfmle,mkfile
cdb,cd
l,ls
lpwd,pwd
deskargar,descargar
subbir,subir
cabmiar nombre,cambiar nombre
modificar conetnido,modificar contenido
exti,exit
cerar sesion,cerrar sesion
cleuar,clear
mkdi,mkdir
mkfle,mkfile
dc,cd
lsf,ls
qpwd,pwd
descargaur,descargar
subiq,subir
camebiar nombre,cambiar nombre
modificar cnotenido,modificar contenido
eixt,exit
cerfar sesion,cerrar sesion
clebar,clear
ikdir,mkdir
mafile,mkfile
ccd,cd
lj,ls
wd,pwd
edscargar,descargar
suibr,subir
cambiar nmbre,cambiar nombre
modificar conenido,modificar contenido
oxit,exit
cerrkr sesion,cerrar sesion
claer,clear
kmkdir,mkdir
mfile,mkfile
ccd,cd
s,ls
wd,pwd
descasgar,descargar
subi,subir
